payment_id,customer_id,rental_id,amount,payment_date
16175,326,981,4.99,2017-01-30
16176,326,1149,3.99,2017-01-31
16177,327,653,6.99,2017-01-28
16178,328,862,2.99,2017-01-30
16179,330,704,3.99,2017-01-29
16180,330,967,7.99,2017-01-30
16181,331,87,0.99,2017-01-25
16182,331,996,2.99,2017-01-30
16183,332,600,3.99,2017-01-28
16184,332,1000,6.99,2017-01-30
16185,333,4,4.99,2017-01-24
16186,334,13,6.99,2017-01-24
16187,334,431,8.99,2017-01-27
16188,337,374,6.99,2017-01-27
16189,337,572,4.99,2017-01-28
16190,337,839,8.99,2017-01-29
16191,338,675,0.99,2017-01-28
16192,339,876,5.99,2017-01-30
16193,343,102,3.99,2017-01-25
16194,343,455,3.99,2017-01-27
16195,344,157,2.99,2017-01-25
16196,344,813,5.99,2017-01-29
16197,345,206,0.99,2017-01-26
16198,345,363,0.99,2017-01-27
16199,346,65,4.99,2017-01-25
16200,346,810,4.99,2017-01-29
16201,348,153,0.99,2017-01-25
16202,348,821,0.99,2017-01-29
16203,349,890,4.99,2017-01-30
16204,350,24,4.99,2017-01-25
16205,350,802,4.99,2017-01-29
16206,351,1137,1.99,2017-01-31
16207,352,784,2.99,2017-01-29
16208,353,1103,6.99,2017-01-31
16209,354,140,0.99,2017-01-25
16210,354,158,1.99,2017-01-25
16211,354,402,0.99,2017-01-27
16212,355,1110,3.99,2017-01-31
16213,356,1088,4.99,2017-01-31
16214,357,144,2.99,2017-01-25
16215,357,824,4.99,2017-01-29
16216,357,945,0.99,2017-01-30
16217,358,858,4.99,2017-01-30
16218,359,284,8.99,2017-01-26
16219,359,392,2.99,2017-01-27
16220,359,528,3.99,2017-01-28
16221,360,633,0.99,2017-01-28
16222,360,777,4.99,2017-01-29
16223,361,368,5.99,2017-01-27
16224,361,1120,4.99,2017-01-31
16225,362,1035,4.99,2017-01-31
16226,363,733,3.99,2017-01-29
16227,364,462,5.99,2017-01-27
16228,365,120,5.99,2017-01-25
16229,365,231,4.99,2017-01-26
16230,366,911,6.99,2017-01-30
16231,367,939,0.99,2017-01-30
16232,367,1089,2.99,2017-01-31
16233,368,64,5.99,2017-01-25
16234,368,125,5.99,2017-01-25
16235,368,836,2.99,2017-01-29
16236,368,949,2.99,2017-01-30
16237,369,31,4.99,2017-01-25
16238,369,294,4.99,2017-01-26
16239,369,854,0.99,2017-01-30
16240,369,913,7.99,2017-01-30
16241,371,26,3.99,2017-01-25
16242,371,286,6.99,2017-01-26
16243,371,381,4.99,2017-01-27
16244,371,384,5.99,2017-01-27
16245,371,825,0.99,2017-01-29
16246,371,829,2.99,2017-01-29
16247,372,617,2.99,2017-01-28
16248,372,638,2.99,2017-01-28
16249,373,257,4.99,2017-01-26
16250,374,521,0.99,2017-01-28
16251,374,910,2.99,2017-01-30
16252,374,919,0.99,2017-01-30
16253,375,307,8.99,2017-01-26
16254,375,412,4.99,2017-01-27
16255,375,749,4.99,2017-01-29
16256,375,873,2.99,2017-01-30
16257,376,554,0.99,2017-01-28
16258,378,347,0.99,2017-01-27
16259,379,209,4.99,2017-01-26
16260,379,863,4.99,2017-01-30
16261,380,847,3.99,2017-01-29
16262,381,169,0.99,2017-01-26
16263,381,406,2.99,2017-01-27
16264,381,835,2.99,2017-01-29
16265,382,356,2.99,2017-01-27
16266,382,522,2.99,2017-01-28
16267,383,63,0.99,2017-01-25
16268,383,766,8.99,2017-01-29
16269,384,103,4.99,2017-01-25
16270,384,279,2.99,2017-01-26
16271,384,898,0.99,2017-01-30
16272,384,1013,2.99,2017-01-31
16273,385,917,2.99,2017-01-30
16274,385,1038,4.99,2017-01-31
16275,386,583,7.99,2017-01-28
16276,387,302,4.99,2017-01-26
16277,387,697,7.99,2017-01-29
16278,387,841,4.99,2017-01-29
16279,387,1127,3.99,2017-01-31
16280,388,21,4.99,2017-01-25
16281,388,411,4.99,2017-01-27
16282,389,998,4.99,2017-01-30
16283,390,254,4.99,2017-01-26
16284,390,912,4.99,2017-01-30
16285,391,73,4.99,2017-01-25
16286,391,210,2.99,2017-01-26
16287,391,317,5.99,2017-01-26
16288,391,870,2.99,2017-01-30
16289,391,891,7.99,2017-01-30
16290,393,599,4.99,2017-01-28
16291,393,886,0.99,2017-01-30
16292,394,213,3.99,2017-01-26
16293,394,977,2.99,2017-01-30
16294,396,641,5.99,2017-01-28
16295,397,1002,0.99,2017-01-30
16296,398,486,4.99,2017-01-27
16297,399,10,5.99,2017-01-24
16298,399,694,6.99,2017-01-29
16299,399,883,4.99,2017-01-30
16300,400,95,3.99,2017-01-25
16301,400,171,6.99,2017-01-26
16302,400,516,1.99,2017-01-28
16303,400,894,5.99,2017-01-30
16304,401,167,4.99,2017-01-26
16305,401,446,4.99,2017-01-27
16306,401,811,1.99,2017-01-29
16307,402,801,1.99,2017-01-29
16308,403,442,2.99,2017-01-27
16309,403,517,0.99,2017-01-28
16310,404,1081,5.99,2017-01-31
16311,405,121,2.99,2017-01-25
16312,405,770,4.99,2017-01-29
16313,406,855,0.99,2017-01-30
16314,407,619,7.99,2017-01-28
16315,408,3,3.99,2017-01-24
16316,408,59,5.99,2017-01-25
16317,408,526,2.99,2017-01-28
16318,409,310,6.99,2017-01-26
16319,411,686,4.99,2017-01-28
16320,411,972,1.99,2017-01-30
16321,412,191,0.99,2017-01-26
16322,412,333,4.99,2017-01-27
16323,412,717,0.99,2017-01-29
16324,412,1043,3.99,2017-01-31
16325,413,40,4.99,2017-01-25
16326,413,999,4.99,2017-01-30
16327,414,85,4.99,2017-01-25
16328,414,261,3.99,2017-01-26
16329,415,665,4.99,2017-01-28
16330,416,253,0.99,2017-01-26
16331,416,724,3.99,2017-01-29
16332,416,1031,2.99,2017-01-31
16333,417,267,4.99,2017-01-26
16334,417,630,8.99,2017-01-28
16335,417,833,4.99,2017-01-29
16336,419,62,2.99,2017-01-25
16337,420,744,4.99,2017-01-29
16338,421,507,0.99,2017-01-28
16339,421,931,0.99,2017-01-30
16340,422,398,0.99,2017-01-27
16341,424,403,0.99,2017-01-27
16342,425,1098,5.99,2017-01-31
16343,426,604,0.99,2017-01-28
16344,427,82,6.99,2017-01-25
16345,428,634,4.99,2017-01-28
16346,429,150,5.99,2017-01-25
16347,429,290,2.99,2017-01-26
16348,429,601,7.99,2017-01-28
16349,429,799,4.99,2017-01-29
16350,429,844,4.99,2017-01-29
16351,430,30,2.99,2017-01-25
16352,430,364,4.99,2017-01-27
16353,431,1126,2.99,2017-01-31
16354,432,326,7.99,2017-01-26
16355,432,550,5.99,2017-01-28
16356,432,897,8.99,2017-01-30
16357,433,146,8.99,2017-01-25
16358,433,691,10.99,2017-01-28
16359,434,508,5.99,2017-01-28
16360,435,757,7.99,2017-01-29
16361,435,806,4.99,2017-01-29
16362,436,45,7.99,2017-01-25
16363,436,256,3.99,2017-01-26
16364,436,848,5.99,2017-01-29
16365,437,192,2.99,2017-01-26
16366,437,656,4.99,2017-01-28
16367,437,666,5.99,2017-01-28
16368,438,23,4.99,2017-01-25
16369,438,1036,0.99,2017-01-31
16370,438,1138,6.99,2017-01-31
16371,439,126,2.99,2017-01-25
16372,439,367,0.99,2017-01-27
16373,439,786,9.99,2017-01-29
16374,440,957,4.99,2017-01-30
16375,441,823,4.99,2017-01-29
16376,442,466,0.99,2017-01-27
16377,442,558,6.99,2017-01-28
16378,442,632,5.99,2017-01-28
16379,443,1068,4.99,2017-01-31
16380,444,201,8.99,2017-01-26
16381,444,557,0.99,2017-01-28
16382,445,481,2.99,2017-01-27
16383,445,960,2.99,2017-01-30
16384,446,14,0.99,2017-01-24
16385,446,236,0.99,2017-01-26
16386,446,355,4.99,2017-01-27
16387,447,461,2.99,2017-01-27
16388,447,732,0.99,2017-01-29
16389,448,299,4.99,2017-01-26
16390,448,1123,2.99,2017-01-31
16391,449,263,4.99,2017-01-26
16392,449,325,5.99,2017-01-26
16393,449,849,7.99,2017-01-29
16394,450,548,3.99,2017-01-28
16395,451,77,0.99,2017-01-25
16396,451,328,2.99,2017-01-26
16397,451,1113,2.99,2017-01-31
16398,452,354,2.99,2017-01-27
16399,452,714,2.99,2017-01-29
16400,452,726,1.99,2017-01-29
16401,454,735,7.99,2017-01-29
16402,455,115,0.99,2017-01-25
16403,455,343,0.99,2017-01-27
16404,456,19,4.99,2017-01-24
16405,457,1024,7.99,2017-01-31
16406,459,2,2.99,2017-01-24
16407,460,223,4.99,2017-01-26
16408,460,298,0.99,2017-01-26
16409,460,880,0.99,2017-01-30
16410,460,1064,4.99,2017-01-31
16411,461,684,6.99,2017-01-28
16412,462,156,2.99,2017-01-25
16413,462,590,3.99,2017-01-28
16414,463,560,1.99,2017-01-28
16415,464,305,3.99,2017-01-26
16416,464,373,1.99,2017-01-27
16417,465,640,0.99,2017-01-28
16418,466,1104,2.99,2017-01-31
16419,467,225,4.99,2017-01-26
16420,468,101,6.99,2017-01-25
16421,468,186,4.99,2017-01-26
16422,468,296,6.99,2017-01-26
16423,468,459,0.99,2017-01-27
16424,468,673,0.99,2017-01-28
16425,469,168,0.99,2017-01-26
16426,469,506,7.99,2017-01-28
16427,469,529,4.99,2017-01-28
16428,469,936,1.99,2017-01-30
16429,469,1119,2.99,2017-01-31
16430,470,60,2.99,2017-01-25
16431,471,616,2.99,2017-01-28
16432,472,142,0.99,2017-01-25
16433,472,249,2.99,2017-01-26
16434,472,800,0.99,2017-01-29
16435,472,994,4.99,2017-01-30
16436,473,348,4.99,2017-01-27
16437,473,942,2.99,2017-01-30
16438,473,973,3.99,2017-01-30
16439,474,816,7.99,2017-01-29
16440,475,417,4.99,2017-01-27
16441,475,702,0.99,2017-01-29
16442,476,489,4.99,2017-01-27
16443,476,771,2.99,2017-01-29
16444,477,882,2.99,2017-01-30
16445,479,132,3.99,2017-01-25
16446,479,709,7.99,2017-01-29
16447,480,518,0.99,2017-01-28
16448,480,720,6.99,2017-01-29
16449,480,822,9.99,2017-01-29
16450,481,1109,5.99,2017-01-31
16451,482,259,8.99,2017-01-26
16452,482,680,2.99,2017-01-28
16453,482,879,0.99,2017-01-30
16454,483,742,6.99,2017-01-29
16455,484,35,4.99,2017-01-25
16456,484,668,2.99,2017-01-28
16457,484,727,2.99,2017-01-29
16458,485,1009,2.99,2017-01-31
16459,486,909,8.99,2017-01-30
16460,486,946,2.99,2017-01-30
16461,486,1129,0.99,2017-01-31
16462,489,219,4.99,2017-01-26
16463,489,513,2.99,2017-01-28
16464,490,585,6.99,2017-01-28
16465,490,676,4.99,2017-01-28
16466,491,484,2.99,2017-01-27
16467,491,1097,0.99,2017-01-31
16468,492,84,2.99,2017-01-25
16469,493,543,7.99,2017-01-28
16470,494,608,4.99,2017-01-28
16471,495,623,4.99,2017-01-28
16472,495,741,4.99,2017-01-29
16473,496,322,4.99,2017-01-26
16474,496,966,0.99,2017-01-30
16475,497,1100,7.99,2017-01-31
16476,498,49,2.99,2017-01-25
16477,498,429,8.99,2017-01-27
16478,498,718,2.99,2017-01-29
16479,499,89,2.99,2017-01-25
16480,500,112,8.99,2017-01-25
16481,500,389,8.99,2017-01-27
16482,500,610,0.99,2017-01-28
16483,501,493,0.99,2017-01-27
16484,501,605,1.99,2017-01-28
16485,502,258,2.99,2017-01-26
16486,502,861,0.99,2017-01-30
16487,502,893,2.99,2017-01-30
16488,502,965,0.99,2017-01-30
16489,503,109,1.99,2017-01-25
16490,503,353,5.99,2017-01-27
16491,503,631,2.99,2017-01-28
16492,503,1074,4.99,2017-01-31
16493,504,136,5.99,2017-01-25
16494,504,470,4.99,2017-01-27
16495,504,838,4.99,2017-01-29
16496,505,159,2.99,2017-01-26
16497,505,645,2.99,2017-01-28
16498,506,114,3.99,2017-01-25
16499,506,387,2.99,2017-01-27
16500,506,410,3.99,2017-01-27
16501,506,547,8.99,2017-01-28
16502,506,907,0.99,2017-01-30
16503,506,1042,2.99,2017-01-31
16504,506,1153,4.99,2017-01-31
16505,507,52,0.99,2017-01-25
16506,507,713,4.99,2017-01-29
16507,508,369,2.99,2017-01-27
16508,508,921,2.99,2017-01-30
16509,509,22,4.99,2017-01-25
16510,509,831,8.99,2017-01-29
16511,510,75,8.99,2017-01-25
16512,510,372,5.99,2017-01-27
16513,510,1118,4.99,2017-01-31
16514,511,56,2.99,2017-01-25
16515,511,819,3.99,2017-01-29
16516,513,993,4.99,2017-01-30
16517,514,536,4.99,2017-01-28
16518,515,187,8.99,2017-01-26
16519,515,292,6.99,2017-01-26
16520,516,339,3.99,2017-01-27
16521,516,571,1.99,2017-01-28
16522,517,850,4.99,2017-01-30
16523,518,710,2.99,2017-01-29
16524,519,1056,3.99,2017-01-31
16525,520,962,6.99,2017-01-30
16526,522,426,5.99,2017-01-27
16527,523,42,4.99,2017-01-25
16528,523,664,0.99,2017-01-28
16529,524,118,0.99,2017-01-25
16530,524,982,4.99,2017-01-30
16531,525,437,5.99,2017-01-27
16532,526,495,4.99,2017-01-27
16533,526,679,4.99,2017-01-28
16534,526,1015,2.99,2017-01-31
16535,528,204,0.99,2017-01-26
16536,528,472,0.99,2017-01-27
16537,528,533,5.99,2017-01-28
16538,528,695,3.99,2017-01-29
16539,528,793,5.99,2017-01-29
16540,529,453,2.99,2017-01-27
16541,530,851,0.99,2017-01-30
16542,531,233,4.99,2017-01-26
16543,531,681,2.99,2017-01-28
16544,532,43,2.99,2017-01-25
16545,533,173,0.99,2017-01-26
16546,533,190,1.99,2017-01-26
16547,533,615,5.99,2017-01-28
16548,534,304,5.99,2017-01-26
16549,534,940,0.99,2017-01-30
16550,535,37,0.99,2017-01-25
16551,535,541,2.99,2017-01-28
16552,535,778,3.99,2017-01-29
16553,535,959,4.99,2017-01-30
16554,536,237,0.99,2017-01-26
16555,536,929,6.99,2017-01-30
16556,537,603,4.99,2017-01-28
16557,538,594,2.99,2017-01-28
16558,538,734,4.99,2017-01-29
16559,539,250,4.99,2017-01-26
16560,539,342,0.99,2017-01-27
16561,541,1021,7.99,2017-01-31
16562,541,1066,4.99,2017-01-31
16563,542,220,4.99,2017-01-26
16564,542,376,4.99,2017-01-27
16565,543,243,6.99,2017-01-26
16566,543,476,1.99,2017-01-27
16567,544,397,2.99,2017-01-27
16568,544,864,2.99,2017-01-30
16569,545,248,0.99,2017-01-26
16570,545,715,3.99,2017-01-29
16571,546,197,5.99,2017-01-26
16572,546,482,6.99,2017-01-27
16573,547,306,0.99,2017-01-26
16574,547,443,8.99,2017-01-27
16575,547,1094,1.99,2017-01-31
16576,548,177,6.99,2017-01-26
16577,548,743,4.99,2017-01-29
16578,548,872,3.99,2017-01-30
16579,549,6,0.99,2017-01-24
16580,549,852,4.99,2017-01-30
16581,549,906,3.99,2017-01-30
16582,549,1086,4.99,2017-01-31
16583,550,922,7.99,2017-01-30
16584,551,155,7.99,2017-01-25
16585,551,728,2.99,2017-01-29
16586,551,795,0.99,2017-01-29
16587,551,969,4.99,2017-01-30
16588,551,1005,3.99,2017-01-30
16589,552,174,0.99,2017-01-26
16590,553,789,4.99,2017-01-29
16591,554,607,2.99,2017-01-28
16592,554,817,2.99,2017-01-29
16593,556,184,0.99,2017-01-26
16594,556,772,5.99,2017-01-29
16595,556,1083,3.99,2017-01-31
16596,557,467,4.99,2017-01-27
16597,557,478,4.99,2017-01-27
16598,560,137,2.99,2017-01-25
16599,561,902,4.99,2017-01-30
16600,561,971,4.99,2017-01-30
16601,562,788,2.99,2017-01-29
16602,562,941,2.99,2017-01-30
16603,562,1139,5.99,2017-01-31
16604,563,758,4.99,2017-01-29
16605,563,773,5.99,2017-01-29
16606,564,195,5.99,2017-01-26
16607,564,985,2.99,2017-01-30
16608,565,458,6.99,2017-01-27
16609,565,1004,0.99,2017-01-30
16610,566,234,5.99,2017-01-26
16611,566,768,4.99,2017-01-29
16612,569,53,4.99,2017-01-25
16613,569,487,4.99,2017-01-27
16614,569,624,4.99,2017-01-28
16615,569,647,1.99,2017-01-28
16616,569,1037,3.99,2017-01-31
16617,570,1060,7.99,2017-01-31
16618,571,228,9.99,2017-01-26
16619,571,689,3.99,2017-01-28
16620,572,559,7.99,2017-01-28
16621,573,827,2.99,2017-01-29
16622,574,433,0.99,2017-01-27
16623,575,17,2.99,2017-01-24
16624,575,395,0.99,2017-01-27
16625,575,454,4.99,2017-01-27
16626,575,769,2.99,2017-01-29
16627,575,774,4.99,2017-01-29
16628,576,755,2.99,2017-01-29
16629,576,968,0.99,2017-01-30
16630,577,291,5.99,2017-01-26
16631,578,660,0.99,2017-01-28
16632,580,611,0.99,2017-01-28
16633,581,976,4.99,2017-01-30
16634,581,1151,4.99,2017-01-31
16635,582,281,0.99,2017-01-26
16636,584,379,4.99,2017-01-27
16637,584,626,4.99,2017-01-28
16638,584,920,4.99,2017-01-30
16639,586,138,4.99,2017-01-25
16640,586,900,8.99,2017-01-30
16641,587,181,4.99,2017-01-26
16642,587,361,0.99,2017-01-27
16643,588,576,2.99,2017-01-28
16644,588,961,4.99,2017-01-30
16645,589,531,0.99,2017-01-28
16646,589,596,4.99,2017-01-28
16647,589,737,4.99,2017-01-29
16648,590,602,3.99,2017-01-28
16649,593,790,2.99,2017-01-29
16650,593,991,8.99,2017-01-30
16651,594,313,4.99,2017-01-26
16652,594,360,8.99,2017-01-27
16653,594,1018,0.99,2017-01-31
16654,594,1045,6.99,2017-01-31
16655,595,613,6.99,2017-01-28
16656,596,303,4.99,2017-01-26
16657,596,625,0.99,2017-01-28
16658,596,667,4.99,2017-01-28
16659,596,782,1.99,2017-01-29
16660,596,914,2.99,2017-01-30
16661,596,974,6.99,2017-01-30
16662,597,34,2.99,2017-01-25
16663,597,514,8.99,2017-01-28
16664,599,1008,4.99,2017-01-30
16665,203,314,0.99,2017-01-26
16666,204,251,0.99,2017-01-26
16667,204,399,4.99,2017-01-27
16668,204,857,4.99,2017-01-30
16669,204,1016,1.99,2017-01-31
16670,207,39,0.99,2017-01-25
16671,207,44,0.99,2017-01-25
16672,207,659,0.99,2017-01-28
16673,207,826,6.99,2017-01-29
16674,207,896,3.99,2017-01-30
16675,207,1144,3.99,2017-01-31
16676,208,100,4.99,2017-01-25
16677,1,76,2.99,2017-01-25
16678,1,573,0.99,2017-01-28
16679,2,320,4.99,2017-01-26
16680,3,435,1.99,2017-01-27
16681,3,830,2.99,2017-01-29
16682,5,731,0.99,2017-01-29
16683,5,1085,6.99,2017-01-31
16684,5,1142,1.99,2017-01-31
16685,6,57,4.99,2017-01-25
16686,6,577,2.99,2017-01-28
16687,6,916,0.99,2017-01-30
16688,7,46,5.99,2017-01-25
16689,7,117,0.99,2017-01-25
16690,7,748,2.99,2017-01-29
16691,7,975,4.99,2017-01-30
16692,7,1063,5.99,2017-01-31
16693,8,866,6.99,2017-01-30
16694,9,350,4.99,2017-01-27
16695,9,877,0.99,2017-01-30
16696,9,1075,4.99,2017-01-31
16697,10,1140,4.99,2017-01-31
16698,11,987,6.99,2017-01-30
16699,12,988,4.99,2017-01-30
16700,12,1084,4.99,2017-01-31
16701,14,151,0.99,2017-01-25
16702,14,346,9.99,2017-01-27
16703,14,525,5.99,2017-01-28
16704,14,671,2.99,2017-01-28
16705,14,815,0.99,2017-01-29
16706,16,335,3.99,2017-01-27
16707,16,593,2.99,2017-01-28
16708,16,887,0.99,2017-01-30
16709,16,1017,2.99,2017-01-31
16710,17,287,2.99,2017-01-26
16711,17,580,2.99,2017-01-28
16712,17,884,4.99,2017-01-30
16713,18,50,2.99,2017-01-25
16714,18,116,4.99,2017-01-25
16715,18,692,4.99,2017-01-29
16716,19,18,0.99,2017-01-24
16717,19,110,9.99,2017-01-25
16718,19,179,6.99,2017-01-26
16719,19,337,2.99,2017-01-27
16720,19,591,2.99,2017-01-28
16721,19,696,2.99,2017-01-29
16722,20,202,2.99,2017-01-26
16723,20,497,6.99,2017-01-27
16724,20,546,1.99,2017-01-28
16725,21,260,3.99,2017-01-26
16726,21,463,3.99,2017-01-27
16727,21,570,0.99,2017-01-28
16728,22,370,4.99,2017-01-27
16729,22,556,4.99,2017-01-28
16730,22,820,8.99,2017-01-29
16731,23,129,8.99,2017-01-25
16732,23,654,2.99,2017-01-28
16733,23,1090,0.99,2017-01-31
16734,24,1007,6.99,2017-01-30
16735,24,1077,2.99,2017-01-31
16736,25,90,7.99,2017-01-25
16737,25,1033,2.99,2017-01-31
16738,26,796,2.99,2017-01-29
16739,26,1105,2.99,2017-01-31
16740,27,787,2.99,2017-01-29
16741,28,388,2.99,2017-01-27
16742,28,868,2.99,2017-01-30
16743,29,194,1.99,2017-01-26
16744,32,483,4.99,2017-01-27
16745,32,803,4.99,2017-01-29
16746,32,1067,4.99,2017-01-31
16747,33,165,2.99,2017-01-26
16748,35,47,3.99,2017-01-25
16749,35,424,6.99,2017-01-27
16750,36,349,0.99,2017-01-27
16751,36,716,0.99,2017-01-29
16752,37,25,0.99,2017-01-25
16753,37,923,2.99,2017-01-30
16754,40,128,4.99,2017-01-25
16755,42,635,5.99,2017-01-28
16756,43,123,4.99,2017-01-25
16757,43,652,4.99,2017-01-28
16758,44,29,0.99,2017-01-25
16759,44,99,4.99,2017-01-25
16760,44,407,2.99,2017-01-27
16761,44,721,0.99,2017-01-29
16762,44,904,2.99,2017-01-30
16763,45,277,2.99,2017-01-26
16764,46,401,2.99,2017-01-27
16765,46,432,4.99,2017-01-27
16766,46,938,2.99,2017-01-30
16767,47,175,3.99,2017-01-26
16768,47,207,4.99,2017-01-26
16769,47,300,6.99,2017-01-26
16770,48,72,0.99,2017-01-25
16771,48,297,2.99,2017-01-26
16772,48,390,4.99,2017-01-27
16773,49,96,1.99,2017-01-25
16774,49,239,3.99,2017-01-26
16775,49,846,2.99,2017-01-29
16776,49,1010,4.99,2017-01-31
16777,50,763,4.99,2017-01-29
16778,50,794,4.99,2017-01-29
16779,50,905,4.99,2017-01-30
16780,50,1029,4.99,2017-01-31
16781,50,1136,4.99,2017-01-31
16782,51,119,4.99,2017-01-25
16783,51,661,4.99,2017-01-28
16784,51,1028,4.99,2017-01-31
16785,52,874,0.99,2017-01-30
16786,53,88,3.99,2017-01-25
16787,53,378,2.99,2017-01-27
16788,53,751,0.99,2017-01-29
16789,53,783,5.99,2017-01-29
16790,53,856,9.99,2017-01-30
16791,53,1107,2.99,2017-01-31
16792,54,198,4.99,2017-01-26
16793,54,441,4.99,2017-01-27
16794,54,545,3.99,2017-01-28
16795,55,555,4.99,2017-01-28
16796,55,1027,9.99,2017-01-31
16797,55,1048,0.99,2017-01-31
16798,56,130,3.99,2017-01-25
16799,56,341,5.99,2017-01-27
16800,56,496,2.99,2017-01-27
16801,56,569,6.99,2017-01-28
16802,57,152,9.99,2017-01-25
16803,57,943,4.99,2017-01-30
16804,58,230,0.99,2017-01-26
16805,58,276,7.99,2017-01-26
16806,58,761,0.99,2017-01-29
16807,59,212,4.99,2017-01-26
16808,59,951,2.99,2017-01-30
16809,59,1154,5.99,2017-01-31
16810,60,318,4.99,2017-01-26
16811,60,706,1.99,2017-01-29
16812,60,934,2.99,2017-01-30
16813,61,1157,0.99,2017-01-31
16814,62,885,0.99,2017-01-30
16815,62,947,4.99,2017-01-30
16816,64,494,4.99,2017-01-27
16817,64,587,0.99,2017-01-28
16818,64,1001,2.99,2017-01-30
16819,65,295,4.99,2017-01-26
